 Round    Worker    Inserts    WPS    WPM    Time (seconds)    Time (minutes)    LatencyInsert (seconds)    LatencyTotal (seconds)
-------  --------  ---------  -----  -----  ----------------  ----------------  -------------------------  ------------------------
      1         6       5000     41   2460               121                 2                      0.015                        75
      1         4       5000     41   2460               122                 2                      0.015                        75
      1         8       5000     41   2460               122                 2                      0.015                        75
      1         2       5000     41   2460               122                 2                      0.015                        75
      1         7       5000     41   2460               122                 2                      0.015                        75
      1         5       5000     41   2460               122                 2                      0.015                        75
      1         1       5000     41   2460               122                 2                      0.015                        75
      1         3       5000     41   2460               122                 2                      0.015                        75
      2         7       5000     41   2460               121                 2                      0.015                        75
      2         5       5000     41   2460               121                 2                      0.015                        75
      2         6       5000     41   2460               121                 2                      0.015                        75
      2         3       5000     41   2460               121                 2                      0.015                        75
      2         4       5000     41   2460               121                 2                      0.015                        75
      2         8       5000     41   2460               121                 2                      0.015                        75
      2         2       5000     41   2460               121                 2                      0.015                        75
      2         1       5000     41   2460               121                 2                      0.015                        75
      3         5       5000     41   2460               121                 2                      0.015                        75
      3         2       5000     41   2460               121                 2                      0.015                        75
      3         3       5000     41   2460               121                 2                      0.015                        75
      3         8       5000     41   2460               121                 2                      0.015                        75
      3         7       5000     41   2460               121                 2                      0.015                        75
      3         4       5000     41   2460               121                 2                      0.015                        75
      3         6       5000     41   2460               121                 2                      0.015                        75
      3         1       5000     41   2460               121                 2                      0.015                        75
      4         1       5000     45   2700               110                 2                      0.015                        75
      4         7       5000     45   2700               110                 2                      0.015                        75
      4         4       5000     45   2700               110                 2                      0.015                        75
      4         6       5000     45   2700               111                 2                      0.015                        75
      4         3       5000     45   2700               111                 2                      0.015                        75
      4         8       5000     45   2700               111                 2                      0.015                        75
      4         2       5000     45   2700               111                 2                      0.015                        75
      4         5       5000     45   2700               111                 2                      0.015                        75
      5         2       5000     49   2940               103                 2                      0.015                        75
      5         3       5000     49   2940               103                 2                      0.015                        75
      5         4       5000     49   2940               103                 2                      0.015                        75
      5         1       5000     49   2940               103                 2                      0.015                        75
      5         5       5000     49   2940               103                 2                      0.015                        75
      5         8       5000     49   2940               103                 2                      0.015                        75
      5         7       5000     49   2940               103                 2                      0.015                        75
      5         6       5000     49   2940               103                 2                      0.015                        75
      6         2       5000     50   3000               101                 2                      0.015                        75
      6         7       5000     50   3000               101                 2                      0.015                        75
      6         3       5000     50   3000               101                 2                      0.015                        75
      6         1       5000     50   3000               101                 2                      0.015                        75
      6         8       5000     50   3000               101                 2                      0.015                        75
      6         6       5000     50   3000               101                 2                      0.015                        75
      6         4       5000     50   3000               101                 2                      0.015                        75
      6         5       5000     50   3000               101                 2                      0.015                        75
      7         1       5000     51   3060                99                 2                      0.015                        75
      7         5       5000     51   3060                99                 2                      0.015                        75
      7         8       5000     51   3060                99                 2                      0.015                        75
      7         7       5000     51   3060                99                 2                      0.015                        75
      7         2       5000     51   3060                99                 2                      0.015                        75
      7         6       5000     51   3060                99                 2                      0.015                        75
      7         3       5000     51   3060                99                 2                      0.015                        75
      7         4       5000     51   3060                99                 2                      0.015                        75
      8         4       5000     49   2940               102                 2                      0.015                        75
      8         6       5000     49   2940               102                 2                      0.015                        75
      8         5       5000     49   2940               102                 2                      0.015                        75
      8         3       5000     49   2940               102                 2                      0.015                        75
      8         8       5000     49   2940               102                 2                      0.015                        75
      8         7       5000     49   2940               102                 2                      0.015                        75
      8         1       5000     49   2940               102                 2                      0.015                        75
      8         2       5000     49   2940               102                 2                      0.015                        75
      9         2       5000     50   3000               101                 2                      0.015                        75
      9         3       5000     50   3000               101                 2                      0.015                        75
      9         7       5000     50   3000               101                 2                      0.015                        75
      9         6       5000     50   3000               101                 2                      0.015                        75
      9         1       5000     50   3000               101                 2                      0.015                        75
      9         8       5000     50   3000               101                 2                      0.015                        75
      9         4       5000     50   3000               101                 2                      0.015                        75
      9         5       5000     50   3000               101                 2                      0.015                        75
     10         8       5000     50   3000               100                 2                      0.015                        75
     10         5       5000     50   3000               100                 2                      0.015                        75
     10         2       5000     50   3000               100                 2                      0.015                        75
     10         6       5000     50   3000               100                 2                      0.015                        75
     10         4       5000     50   3000               100                 2                      0.015                        75
     10         1       5000     50   3000               100                 2                      0.015                        75
     10         7       5000     50   3000               100                 2                      0.015                        75
     10         3       5000     50   3000               100                 2                      0.015                        75
     11         4       5000     51   3060                98                 2                      0.015                        75
     11         3       5000     51   3060                98                 2                      0.015                        75
     11         5       5000     51   3060                98                 2                      0.015                        75
     11         6       5000     51   3060                98                 2                      0.015                        75
     11         1       5000     51   3060                98                 2                      0.015                        75
     11         2       5000     51   3060                98                 2                      0.015                        75
     11         7       5000     51   3060                98                 2                      0.015                        75
     11         8       5000     51   3060                98                 2                      0.015                        75
     12         7       5000     50   3000               100                 2                      0.015                        75
     12         6       5000     50   3000               100                 2                      0.015                        75
     12         5       5000     50   3000               100                 2                      0.015                        75
     12         2       5000     50   3000               100                 2                      0.015                        75
     12         3       5000     50   3000               100                 2                      0.015                        75
     12         1       5000     50   3000               100                 2                      0.015                        75
     12         8       5000     50   3000               100                 2                      0.015                        75
     12         4       5000     50   3000               101                 2                      0.015                        75
     13         5       5000     49   2940               102                 2                      0.015                        75
     13         7       5000     49   2940               102                 2                      0.015                        75
     13         3       5000     49   2940               102                 2                      0.015                        75
     13         8       5000     49   2940               102                 2                      0.015                        75
     13         4       5000     49   2940               102                 2                      0.015                        75
     13         6       5000     49   2940               102                 2                      0.015                        75
     13         1       5000     49   2940               102                 2                      0.015                        75
     13         2       5000     49   2940               102                 2                      0.015                        75
     14         6       5000     49   2940               102                 2                      0.015                        75
     14         8       5000     49   2940               103                 2                      0.015                        75
     14         1       5000     49   2940               103                 2                      0.015                        75
     14         7       5000     49   2940               103                 2                      0.015                        75
     14         4       5000     49   2940               103                 2                      0.015                        75
     14         3       5000     49   2940               103                 2                      0.015                        75
     14         5       5000     49   2940               103                 2                      0.015                        75
     14         2       5000     49   2940               103                 2                      0.015                        75
     15         8       5000     49   2940               102                 2                      0.015                        75
     15         3       5000     49   2940               102                 2                      0.015                        75
     15         7       5000     49   2940               102                 2                      0.015                        75
     15         2       5000     49   2940               102                 2                      0.015                        75
     15         5       5000     49   2940               102                 2                      0.015                        75
     15         4       5000     49   2940               102                 2                      0.015                        75
     15         6       5000     49   2940               102                 2                      0.015                        75
     15         1       5000     49   2940               102                 2                      0.015                        75
     16         5       5000     51   3060                98                 2                      0.015                        75
     16         8       5000     51   3060                98                 2                      0.015                        75
     16         6       5000     51   3060                98                 2                      0.015                        75
     16         7       5000     51   3060                99                 2                      0.015                        75
     16         2       5000     51   3060                99                 2                      0.015                        75
     16         3       5000     51   3060                99                 2                      0.015                        75
     16         1       5000     51   3060                99                 2                      0.015                        75
     16         4       5000     51   3060                99                 2                      0.015                        75
     17         2       5000     51   3060                99                 2                      0.015                        75
     17         5       5000     51   3060                99                 2                      0.015                        75
     17         6       5000     51   3060                99                 2                      0.015                        75
     17         8       5000     51   3060                99                 2                      0.015                        75
     17         1       5000     51   3060                99                 2                      0.015                        75
     17         4       5000     51   3060                99                 2                      0.015                        75
     17         7       5000     51   3060                99                 2                      0.015                        75
     17         3       5000     51   3060                99                 2                      0.015                        75
     18         3       5000     51   3060                99                 2                      0.015                        75
     18         4       5000     51   3060                99                 2                      0.015                        75
     18         5       5000     51   3060                99                 2                      0.015                        75
     18         6       5000     51   3060                99                 2                      0.015                        75
     18         1       5000     51   3060                99                 2                      0.015                        75
     18         8       5000     51   3060                99                 2                      0.015                        75
     18         7       5000     51   3060                99                 2                      0.015                        75
     18         2       5000     51   3060                99                 2                      0.015                        75
     19         8       5000     51   3060                99                 2                      0.015                        75
     19         3       5000     51   3060                99                 2                      0.015                        75
     19         5       5000     51   3060                99                 2                      0.015                        75
     19         1       5000     51   3060                99                 2                      0.015                        75
     19         4       5000     51   3060                99                 2                      0.015                        75
     19         6       5000     51   3060                99                 2                      0.015                        75
     19         2       5000     51   3060                99                 2                      0.015                        75
     19         7       5000     51   3060                99                 2                      0.015                        75
     20         1       5000     50   3000               100                 2                      0.015                        75
     20         5       5000     50   3000               100                 2                      0.015                        75
     20         3       5000     50   3000               100                 2                      0.015                        75
     20         4       5000     50   3000               100                 2                      0.015                        75
     20         7       5000     50   3000               100                 2                      0.015                        75
     20         8       5000     50   3000               100                 2                      0.015                        75
     20         2       5000     50   3000               100                 2                      0.015                        75
     20         6       5000     50   3000               100                 2                      0.015                        75
     21         1       5000     49   2940               102                 2                      0.015                        75
     21         2       5000     49   2940               102                 2                      0.015                        75
     21         8       5000     49   2940               102                 2                      0.015                        75
     21         6       5000     49   2940               102                 2                      0.015                        75
     21         5       5000     49   2940               102                 2                      0.015                        75
     21         3       5000     49   2940               102                 2                      0.015                        75
     21         4       5000     49   2940               102                 2                      0.015                        75
     21         7       5000     49   2940               102                 2                      0.015                        75
     22         1       5000     49   2940               102                 2                      0.015                        75
     22         6       5000     49   2940               102                 2                      0.015                        75
     22         4       5000     49   2940               102                 2                      0.015                        75
     22         8       5000     49   2940               102                 2                      0.015                        75
     22         5       5000     49   2940               102                 2                      0.015                        75
     22         7       5000     49   2940               102                 2                      0.015                        75
     22         2       5000     49   2940               102                 2                      0.015                        75
     22         3       5000     49   2940               102                 2                      0.015                        75
     23         6       5000     50   3000               101                 2                      0.015                        75
     23         7       5000     50   3000               101                 2                      0.015                        75
     23         5       5000     50   3000               101                 2                      0.015                        75
     23         1       5000     50   3000               101                 2                      0.015                        75
     23         8       5000     50   3000               101                 2                      0.015                        75
     23         4       5000     49   2940               102                 2                      0.015                        75
     23         2       5000     49   2940               102                 2                      0.015                        75
     23         3       5000     49   2940               102                 2                      0.015                        75
     24         3       5000     49   2940               102                 2                      0.015                        75
     24         5       5000     49   2940               102                 2                      0.015                        75
     24         7       5000     49   2940               102                 2                      0.015                        75
     24         4       5000     49   2940               102                 2                      0.015                        75
     24         1       5000     49   2940               102                 2                      0.015                        75
     24         8       5000     49   2940               102                 2                      0.015                        75
     24         6       5000     49   2940               102                 2                      0.015                        75
     24         2       5000     49   2940               103                 2                      0.015                        75
     25         3       5000     49   2940               102                 2                      0.015                        75
     25         2       5000     49   2940               102                 2                      0.015                        75
     25         1       5000     49   2940               102                 2                      0.015                        75
     25         8       5000     49   2940               102                 2                      0.015                        75
     25         5       5000     49   2940               102                 2                      0.015                        75
     25         4       5000     49   2940               102                 2                      0.015                        75
     25         7       5000     49   2940               102                 2                      0.015                        75
     25         6       5000     49   2940               102                 2                      0.015                        75
     26         7       5000     50   3000               100                 2                      0.015                        75
     26         8       5000     50   3000               100                 2                      0.015                        75
     26         5       5000     50   3000               100                 2                      0.015                        75
     26         1       5000     50   3000               100                 2                      0.015                        75
     26         3       5000     50   3000               100                 2                      0.015                        75
     26         2       5000     50   3000               100                 2                      0.015                        75
     26         4       5000     50   3000               100                 2                      0.015                        75
     26         6       5000     50   3000               100                 2                      0.015                        75
     27         2       5000     51   3060                98                 2                      0.015                        75
     27         5       5000     51   3060                99                 2                      0.015                        75
     27         4       5000     51   3060                99                 2                      0.015                        75
     27         3       5000     51   3060                99                 2                      0.015                        75
     27         7       5000     51   3060                99                 2                      0.015                        75
     27         1       5000     51   3060                99                 2                      0.015                        75
     27         6       5000     51   3060                99                 2                      0.015                        75
     27         8       5000     51   3060                99                 2                      0.015                        75
     28         5       5000     51   3060                98                 2                      0.015                        75
     28         7       5000     51   3060                98                 2                      0.015                        75
     28         2       5000     51   3060                98                 2                      0.015                        75
     28         1       5000     51   3060                98                 2                      0.015                        75
     28         3       5000     51   3060                99                 2                      0.015                        75
     28         6       5000     51   3060                99                 2                      0.015                        75
     28         8       5000     51   3060                99                 2                      0.015                        75
     28         4       5000     51   3060                99                 2                      0.015                        75
     29         6       5000     50   3000               100                 2                      0.015                        75
     29         3       5000     50   3000               101                 2                      0.015                        75
     29         8       5000     50   3000               101                 2                      0.015                        75
     29         7       5000     50   3000               101                 2                      0.015                        75
     29         1       5000     50   3000               101                 2                      0.015                        75
     29         2       5000     50   3000               101                 2                      0.015                        75
     29         5       5000     50   3000               101                 2                      0.015                        75
     29         4       5000     50   3000               101                 2                      0.015                        75
     30         3       5000     49   2940               102                 2                      0.015                        75
     30         2       5000     49   2940               102                 2                      0.015                        75
     30         5       5000     49   2940               102                 2                      0.015                        75
     30         7       5000     49   2940               102                 2                      0.015                        75
     30         1       5000     49   2940               102                 2                      0.015                        75
     30         4       5000     49   2940               102                 2                      0.015                        75
     30         6       5000     49   2940               102                 2                      0.015                        75
     30         8       5000     49   2940               102                 2                      0.015                        75
     31         4       5000     49   2940               102                 2                      0.015                        75
     31         7       5000     49   2940               102                 2                      0.015                        75
     31         1       5000     49   2940               102                 2                      0.015                        75
     31         3       5000     49   2940               102                 2                      0.015                        75
     31         8       5000     49   2940               102                 2                      0.015                        75
     31         6       5000     49   2940               102                 2                      0.015                        75
     31         5       5000     49   2940               102                 2                      0.015                        75
     31         2       5000     49   2940               102                 2                      0.015                        75
     32         1       5000     49   2940               102                 2                      0.015                        75
     32         5       5000     49   2940               102                 2                      0.015                        75
     32         7       5000     49   2940               102                 2                      0.015                        75
     32         4       5000     49   2940               102                 2                      0.015                        75
     32         8       5000     49   2940               102                 2                      0.015                        75
     32         3       5000     49   2940               102                 2                      0.015                        75
     32         2       5000     49   2940               102                 2                      0.015                        75
     32         6       5000     49   2940               102                 2                      0.015                        75
     33         6       5000     50   3000               100                 2                      0.015                        75
     33         3       5000     50   3000               100                 2                      0.015                        75
     33         4       5000     50   3000               100                 2                      0.015                        75
     33         5       5000     50   3000               100                 2                      0.015                        75
     33         7       5000     50   3000               100                 2                      0.015                        75
     33         2       5000     50   3000               100                 2                      0.015                        75
     33         8       5000     50   3000               100                 2                      0.015                        75
     33         1       5000     50   3000               100                 2                      0.015                        75
     34         6       5000     51   3060                99                 2                      0.015                        75
     34         7       5000     51   3060                99                 2                      0.015                        75
     34         8       5000     51   3060                99                 2                      0.015                        75
     34         5       5000     51   3060                99                 2                      0.015                        75
     34         1       5000     51   3060                99                 2                      0.015                        75
     34         2       5000     51   3060                99                 2                      0.015                        75
     34         3       5000     51   3060                99                 2                      0.015                        75
     34         4       5000     51   3060                99                 2                      0.015                        75
     35         6       5000     51   3060                99                 2                      0.015                        75
     35         1       5000     51   3060                99                 2                      0.015                        75
     35         3       5000     51   3060                99                 2                      0.015                        75
     35         8       5000     51   3060                99                 2                      0.015                        75
     35         5       5000     51   3060                99                 2                      0.015                        75
     35         2       5000     51   3060                99                 2                      0.015                        75
     35         7       5000     51   3060                99                 2                      0.015                        75
     35         4       5000     51   3060                99                 2                      0.015                        75
     36         2       5000     50   3000               100                 2                      0.015                        75
     36         3       5000     50   3000               100                 2                      0.015                        75
     36         5       5000     50   3000               100                 2                      0.015                        75
     36         1       5000     50   3000               100                 2                      0.015                        75
     36         6       5000     50   3000               100                 2                      0.015                        75
     36         4       5000     50   3000               100                 2                      0.015                        75
     36         8       5000     50   3000               100                 2                      0.015                        75
     36         7       5000     50   3000               100                 2                      0.015                        75
     37         1       5000     50   3000               100                 2                      0.015                        75
     37         4       5000     50   3000               100                 2                      0.015                        75
     37         5       5000     50   3000               100                 2                      0.015                        75
     37         2       5000     50   3000               100                 2                      0.015                        75
     37         7       5000     50   3000               100                 2                      0.015                        75
     37         8       5000     50   3000               100                 2                      0.015                        75
     37         3       5000     50   3000               100                 2                      0.015                        75
     37         6       5000     50   3000               100                 2                      0.015                        75
     38         3       5000     49   2940               102                 2                      0.015                        75
     38         7       5000     49   2940               102                 2                      0.015                        75
     38         4       5000     49   2940               102                 2                      0.015                        75
     38         6       5000     49   2940               102                 2                      0.015                        75
     38         5       5000     49   2940               102                 2                      0.015                        75
     38         2       5000     49   2940               102                 2                      0.015                        75
     38         1       5000     49   2940               102                 2                      0.015                        75
     38         8       5000     49   2940               102                 2                      0.015                        75
     39         6       5000     49   2940               102                 2                      0.015                        75
     39         1       5000     49   2940               102                 2                      0.015                        75
     39         4       5000     49   2940               102                 2                      0.015                        75
     39         2       5000     49   2940               102                 2                      0.015                        75
     39         3       5000     49   2940               102                 2                      0.015                        75
     39         5       5000     49   2940               102                 2                      0.015                        75
     39         7       5000     49   2940               102                 2                      0.015                        75
     39         8       5000     49   2940               102                 2                      0.015                        75
     40         8       5000     49   2940               102                 2                      0.015                        75
     40         2       5000     49   2940               102                 2                      0.015                        75
     40         3       5000     49   2940               103                 2                      0.015                        75
     40         7       5000     49   2940               103                 2                      0.015                        75
     40         5       5000     49   2940               103                 2                      0.015                        75
     40         6       5000     49   2940               103                 2                      0.015                        75
     40         4       5000     49   2940               103                 2                      0.015                        75
     40         1       5000     49   2940               103                 2                      0.015                        75
     41         2       5000     49   2940               102                 2                      0.015                        75
     41         3       5000     49   2940               102                 2                      0.015                        75
     41         6       5000     49   2940               102                 2                      0.015                        75
     41         7       5000     49   2940               102                 2                      0.015                        75
     41         5       5000     49   2940               102                 2                      0.015                        75
     41         4       5000     49   2940               102                 2                      0.015                        75
     41         8       5000     49   2940               102                 2                      0.015                        75
     41         1       5000     49   2940               102                 2                      0.015                        75
     42         7       5000     49   2940               102                 2                      0.015                        75
     42         1       5000     49   2940               102                 2                      0.015                        75
     42         5       5000     49   2940               102                 2                      0.015                        75
     42         6       5000     49   2940               102                 2                      0.015                        75
     42         4       5000     49   2940               102                 2                      0.015                        75
     42         3       5000     49   2940               102                 2                      0.015                        75
     42         2       5000     49   2940               102                 2                      0.015                        75
     42         8       5000     49   2940               102                 2                      0.015                        75
     43         5       5000     50   3000               100                 2                      0.015                        75
     43         3       5000     50   3000               100                 2                      0.015                        75
     43         2       5000     50   3000               100                 2                      0.015                        75
     43         6       5000     50   3000               100                 2                      0.015                        75
     43         1       5000     50   3000               100                 2                      0.015                        75
     43         8       5000     50   3000               100                 2                      0.015                        75
     43         4       5000     50   3000               100                 2                      0.015                        75
     43         7       5000     50   3000               100                 2                      0.015                        75
     44         4       5000     51   3060                99                 2                      0.015                        75
     44         1       5000     51   3060                99                 2                      0.015                        75
     44         2       5000     51   3060                99                 2                      0.015                        75
     44         5       5000     51   3060                99                 2                      0.015                        75
     44         8       5000     51   3060                99                 2                      0.015                        75
     44         6       5000     51   3060                99                 2                      0.015                        75
     44         3       5000     51   3060                99                 2                      0.015                        75
     44         7       5000     51   3060                99                 2                      0.015                        75
     45         2       5000     51   3060                98                 2                      0.015                        75
     45         6       5000     51   3060                98                 2                      0.015                        75
     45         3       5000     51   3060                98                 2                      0.015                        75
     45         1       5000     51   3060                98                 2                      0.015                        75
     45         8       5000     51   3060                98                 2                      0.015                        75
     45         7       5000     51   3060                98                 2                      0.015                        75
     45         5       5000     51   3060                98                 2                      0.015                        75
     45         4       5000     51   3060                98                 2                      0.015                        75
     46         2       5000     51   3060                99                 2                      0.015                        75
     46         6       5000     51   3060                99                 2                      0.015                        75
     46         4       5000     51   3060                99                 2                      0.015                        75
     46         8       5000     51   3060                99                 2                      0.015                        75
     46         7       5000     51   3060                99                 2                      0.015                        75
     46         3       5000     51   3060                99                 2                      0.015                        75
     46         1       5000     51   3060                99                 2                      0.015                        75
     46         5       5000     51   3060                99                 2                      0.015                        75
     47         6       5000     51   3060                98                 2                      0.015                        75
     47         7       5000     51   3060                98                 2                      0.015                        75
     47         1       5000     51   3060                98                 2                      0.015                        75
     47         2       5000     51   3060                98                 2                      0.015                        75
     47         5       5000     51   3060                98                 2                      0.015                        75
     47         3       5000     51   3060                98                 2                      0.015                        75
     47         4       5000     51   3060                98                 2                      0.015                        75
     47         8       5000     51   3060                98                 2                      0.015                        75
     48         3       5000     50   3000               101                 2                      0.015                        75
     48         1       5000     50   3000               101                 2                      0.015                        75
     48         8       5000     49   2940               102                 2                      0.015                        75
     48         4       5000     49   2940               102                 2                      0.015                        75
     48         7       5000     49   2940               102                 2                      0.015                        75
     48         6       5000     49   2940               102                 2                      0.015                        75
     48         5       5000     49   2940               102                 2                      0.015                        75
